,ts,tx,ty,tz,rx,ry,rz,qx,qy,qz,qw,motor0,motor1
5628,1543539557.689635,0.06570079226493836,-0.26088005485534665,-0.12039329328536987,-0.47174577006961305,-0.08115821011877838,-1.7045032665069888,0.18340283632278442,-0.1498040407896042,0.7375593185424805,-0.6323988437652588,1058,5607
5629,1543539557.699657,0.06586154432296752,-0.2608432111740112,-0.12028126039505005,-0.47172077450284655,-0.08117000350896514,-1.7043620281971474,0.18340978026390076,-0.14977805316448212,0.737517237663269,-0.6324520111083984,1058,5607
5630,1543539557.709658,0.06612075815200806,-0.2608367435455322,-0.12008281078338623,-0.4714757237032346,-0.0809552735353289,-1.704181872601521,0.18326793611049652,-0.14974062144756317,0.7374653220176697,-0.6325625777244568,1044,5609
5631,1543539557.719658,0.06653585515022277,-0.26087075309753416,-0.11973472156524657,-0.47087701250254016,-0.07999283738982445,-1.7039554863104978,0.18274658918380737,-0.14981041848659515,0.7373788356781006,-0.6327977180480957,1044,5609
5632,1543539557.729653,0.06678263030052185,-0.26086762828826904,-0.11955456056594849,-0.47036771102677183,-0.07925900263734409,-1.7040573460801858,0.18231172859668732,-0.14986926317214966,0.7374036312103271,-0.6328803300857544,1044,5609
5633,1543539557.739633,0.06707064566612243,-0.2608718915939331,-0.11918871564865112,-0.47020973064924243,-0.07958131088291136,-1.7044622145079016,0.18234829604625702,-0.1497436910867691,0.7375635504722595,-0.6327130794525146,1044,5609
5634,1543539557.749656,0.06721499853134155,-0.2608623718261719,-0.11906343259811401,-0.4701999842568021,-0.07951370621978317,-1.7044846454953366,0.1823190152645111,-0.14976400136947632,0.7375671863555908,-0.6327124834060669,1044,5609
5635,1543539557.759632,0.06734201354980468,-0.26085544395446775,-0.11895787944793701,-0.4705377611162288,-0.07931887070190698,-1.7044608045708651,0.18235699832439423,-0.14994938671588898,0.7375222444534302,-0.6327100396156311,1044,5609
5636,1543539557.769665,0.06748707494735717,-0.2608669984817505,-0.11873817386627197,-0.4708444998983085,-0.07912219349995937,-1.7046364030805696,0.18236951529979706,-0.15014208853244781,0.7375425100326538,-0.6326370239257812,1028,5611
5637,1543539557.779655,0.06766469855308532,-0.26085893211364747,-0.11860211143493651,-0.47085891761510457,-0.07881698696521507,-1.7046553504384454,0.18226195871829987,-0.15024779736995697,0.7375284433364868,-0.632659375667572,1028,5611
5638,1543539557.789634,0.06790802793502808,-0.2608569942474365,-0.11832907819747925,-0.4705119824231275,-0.07847009670214494,-1.705024655642296,0.18199864029884338,-0.15026560425758362,0.7376497387886047,-0.63258957862854,1028,5611
5639,1543539557.799658,0.06809627346992492,-0.2608699295043945,-0.11813991823196411,-0.47032167601291897,-0.07817107846517606,-1.7051035300908348,0.18182402849197388,-0.15029922127723694,0.737670361995697,-0.6326077580451965,1028,5611
5640,1543539557.809653,0.06832735190391541,-0.26087470149993897,-0.11792316789627075,-0.46991146749017193,-0.07805950033738332,-1.7050213587725145,0.18165995180606842,-0.1501765102148056,0.7376682162284851,-0.6326864957809448,1028,5611
5641,1543539557.819626,0.0685819269657135,-0.2608713586807251,-0.11766841115951537,-0.4693342241244353,-0.07791991138186422,-1.7050340705444649,0.18142573535442352,-0.1500098705291748,0.7377068996429443,-0.6327481865882874,1028,5611
5642,1543539557.829653,0.06874840784072876,-0.2608568489074707,-0.11751074151992798,-0.46912406298303755,-0.07803237805375109,-1.7047773634744932,0.1814192831516266,-0.14987270534038544,0.7376483678817749,-0.6328506469726562,1028,5611
5643,1543539557.83964,0.06888045525550841,-0.26084330806732176,-0.11733796863555908,-0.4691771887261857,-0.07805137939983112,-1.7048174868013122,0.18143998086452484,-0.14988979697227478,0.7376582622528076,-0.6328291296958923,1010,5614
5644,1543539557.849663,0.06893002829551696,-0.26083451499938964,-0.11727641716003417,-0.46926979062605506,-0.0780083092669375,-1.7050730947142059,0.1814344972372055,-0.14996106922626495,0.737729549407959,-0.6327307820320129,1010,5614
5645,1543539557.859658,0.06900857243537903,-0.2608470384597778,-0.11725060720443725,-0.46921002092488406,-0.07782014530099834,-1.7051405457334319,0.1813422441482544,-0.15000595152378082,0.7377436757087708,-0.6327301263809204,1010,5614
5646,1543539557.869655,0.06903567833900451,-0.26088194427490236,-0.1172349347114563,-0.46912271769870567,-0.0776513684941072,-1.7052625732609958,0.18124420940876007,-0.15003934502601624,0.7377783060073853,-0.6327098608016968,1010,5614
5647,1543539557.879625,0.0690161422252655,-0.26086915435791014,-0.11725012273788452,-0.46912594352615755,-0.07772494445732989,-1.7053587782417825,0.181264728307724,-0.15002548694610596,0.7378131151199341,-0.6326667666435242,1010,5614
5648,1543539557.889644,0.06898048548698425,-0.26084846763610836,-0.117276429271698,-0.4693221725816668,-0.07811049186542451,-1.7055668509462163,0.18145112693309784,-0.1499921679496765,0.7378881573677063,-0.6325336694717407,1010,5614
5649,1543539557.899657,0.06891675391197204,-0.26085340919494626,-0.11728012332916259,-0.4696205099692348,-0.07849776707477646,-1.7060471717269625,0.18165001273155212,-0.15002073347568512,0.7380416989326477,-0.6322906017303467,1010,5614
5650,1543539557.909654,0.06892212543487548,-0.260866828918457,-0.11727622337341308,-0.4698851014375865,-0.07872305141506736,-1.7060105016543945,0.1818181872367859,-0.15004226565361023,0.7380242347717285,-0.6322575211524963,1010,5614
5651,1543539557.919629,0.06895525689125061,-0.2608701717376709,-0.11728537979125976,-0.46945015040284555,-0.07861898465785805,-1.7059716155898113,0.18164582550525665,-0.14991185069084167,0.7380381226539612,-0.632321834564209,1010,5614
5652,1543539557.929654,0.06894736008644103,-0.2608724245071411,-0.1172668004989624,-0.4693867348856332,-0.07875994640676087,-1.7062806598339078,0.18165378272533417,-0.14987097680568695,0.7381492853164673,-0.6321994066238403,1010,5614
5653,1543539557.939654,0.0690053204536438,-0.26087290897369386,-0.11726615858078003,-0.46923242346348476,-0.07916275583427262,-1.706012994789287,0.18177127838134766,-0.14965958893299103,0.7381011843681335,-0.6322718858718872,1010,5614
5654,1543539557.949655,0.06897777247428893,-0.2608879516601562,-0.117295166015625,-0.46950696647068835,-0.0795589327026127,-1.7057996385183625,0.18201783299446106,-0.14961349964141846,0.7380377054214478,-0.6322859525680542,1010,5614
5655,1543539557.959651,0.06890614409446716,-0.2608904951095581,-0.11740861597061157,-0.46993946824097693,-0.07966021303035731,-1.705286681710668,0.18222971260547638,-0.14969363808631897,0.7378494143486023,-0.6324256658554077,1010,5614
5656,1543539557.969656,0.06852500820159912,-0.2608971080780029,-0.1176890736579895,-0.4711526856207962,-0.08004577288301233,-1.7049046889244501,0.18278183043003082,-0.14998169243335724,0.7376616597175598,-0.6324171423912048,1010,5614
5657,1543539557.979629,0.06834208574295043,-0.26087535552978514,-0.11789216203689575,-0.4716857086452072,-0.08011475988383236,-1.703928823390635,0.18304863572120667,-0.15006668865680695,0.7373173236846924,-0.6327213048934937,1010,5614
5658,1543539557.989632,0.06803565459251404,-0.2608251890182495,-0.11823065881729125,-0.47194990820973004,-0.0792191324735901,-1.702388588738646,0.18292336165905,-0.1503128856420517,0.7367541193962097,-0.6333548426628113,1010,5614
5659,1543539557.999656,0.06780301375389099,-0.26081898784637453,-0.11851597328186035,-0.4720295099560234,-0.07790793703695409,-1.7009476337183222,0.1825820952653885,-0.1506350189447403,0.7362093925476074,-0.634009838104248,1010,5614
5660,1543539558.009655,0.06759704885482788,-0.260794280052185,-0.1188077311515808,-0.47195829137396916,-0.0768096219254393,-1.699077936124827,0.18230284750461578,-0.150794118642807,0.7355525493621826,-0.6348143219947815,1010,5614
5661,1543539558.019631,0.06712749781608582,-0.2607390993118286,-0.11921430759429931,-0.4723074550454509,-0.07579986995749541,-1.6969010610947104,0.18221279978752136,-0.1510515660047531,0.7347708344459534,-0.6356835961341858,1010,5614
5662,1543539558.029679,0.06682583260536193,-0.2607013109207153,-0.11951746253967285,-0.4725848351604459,-0.07516413679681871,-1.695336289206168,0.18218949437141418,-0.1512172520160675,0.7342118620872498,-0.6362964510917664,1024,5605
5663,1543539558.039635,0.06631772408485412,-0.26067163734436033,-0.11994778995513916,-0.4728120283435205,-0.07460941698213028,-1.6933356893999028,0.18221279978752136,-0.15129859745502472,0.7335224151611328,-0.6370651721954346,1024,5605
5664,1543539558.049652,0.0659481366634369,-0.26066860942840575,-0.12026702919006348,-0.47334746545270306,-0.0737418168739411,-1.6921694424750302,0.18215864896774292,-0.15167078375816345,0.7330546379089355,-0.6375304460525513,1024,5605
